Time;Robot;Node;Idleness;Interferences
34.8;4;9;9.1;0
36.8;2;5;11.6;0
36.9;0;8;12.3;0
39.6;1;15;14.6;0
40.4;3;21;13.0;0
40.7;7;24;11.6;0
41.9;6;10;14.0;0
42.2;5;17;12.7;1
51.6;2;5;14.8;4
55.7;3;24;15.0;6
56.5;0;7;11.9;6
60.7;4;10;18.8;9
61.4;3;23;26.9;9
61.8;1;14;12.3;10
66.2;5;20;11.0;14
66.6;4;4;31.7;14
69.2;3;24;13.5;16
73.2;2;6;11.5;18
75.3;3;25;28.5;20
80.5;4;10;19.8;23
81.8;3;24;12.6;24
85.5;0;6;12.3;26
90.8;0;2;20.9;30
91.0;6;14;29.2;30
94.1;0;6;8.6;31
94.2;5;21;53.8;31
95.8;1;10;15.3;32
96.0;3;24;14.2;32
97.0;6;13;41.9;33
99.0;5;22;64.1;35
101.7;1;4;35.1;37
102.5;5;21;8.3;37
103.5;0;5;51.9;38
104.1;6;14;13.1;39
104.4;2;2;13.6;39
108.8;0;11;78.1;41
109.3;1;10;13.5;41
109.4;2;6;15.3;41
113.9;6;15;74.3;45
115.5;0;5;12.0;45
118.4;2;7;61.9;46
119.6;6;16;86.7;46
120.7;1;9;85.9;46
121.3;3;21;18.8;46
122.8;0;1;78.9;46
124.0;2;12;73.8;47
124.3;4;4;22.6;47
125.8;1;3;94.6;47
126.2;6;15;12.3;48
129.3;1;9;8.6;48
130.3;0;5;14.8;49
130.9;2;7;12.5;49
131.2;4;10;21.9;49
132.8;3;20;66.6;49
138.2;3;19;77.7;52
138.7;2;8;101.8;52
140.3;0;6;30.9;53
140.8;4;14;36.7;53
144.7;3;20;11.9;55
145.6;1;8;6.9;55
146.6;4;13;49.6;55
147.0;6;17;104.8;56
149.6;0;7;18.7;56
150.3;2;0;120.0;56
152.2;6;18;115.3;58
152.5;5;20;7.8;58
153.3;4;14;12.5;59
155.6;6;17;8.6;60
162.7;4;15;36.5;65
167.6;5;21;46.3;70
168.3;4;16;48.7;70
170.0;3;17;14.4;71
174.7;4;15;12.0;75
179.7;5;24;83.7;79
185.8;5;23;124.4;83
186.0;2;3;60.2;83
188.3;6;18;36.1;84
191.0;2;9;61.7;86
191.3;0;8;45.7;86
192.5;5;24;12.8;87
198.7;5;25;123.4;89
202.0;2;10;70.8;93
202.4;1;9;11.4;93
205.3;5;24;12.8;96
208.1;2;4;83.8;98
211.6;5;26;123.1;101
217.8;2;10;15.8;106
219.4;5;24;14.1;107
221.0;3;18;32.7;108
223.8;1;3;37.8;109
224.3;3;17;54.3;110
227.9;2;14;74.6;112
230.6;5;21;63.0;113
233.7;2;13;87.1;114
240.7;2;14;12.8;120
242.7;5;20;90.2;121
243.7;3;15;69.0;121
249.4;3;16;81.1;127
251.0;0;9;48.6;129
253.9;2;15;10.2;132
255.7;5;17;31.4;132
256.2;0;3;32.4;132
259.3;1;4;51.2;134
259.5;0;9;8.5;135
265.8;1;10;48.0;139
278.5;1;14;37.8;155
282.5;0;10;16.7;160
284.3;1;13;50.6;163
288.4;0;4;29.1;169
291.2;2;16;41.8;172
295.6;0;10;13.1;177
297.7;1;14;19.2;180
304.9;0;14;7.2;190
310.8;0;13;26.5;196
317.5;0;14;12.6;205
319.2;5;18;98.2;206
324.5;5;17;68.8;210
