Time;Robot;Node;Idleness;Interferences
24.4;3;92;8.4;0
26.8;6;50;11.4;0
29.0;0;12;12.5;0
31.0;1;30;15.7;0
35.3;7;158;12.0;0
36.2;0;11;14.2;0
37.2;3;92;12.8;0
38.3;6;50;11.5;0
40.2;7;157;24.0;0
50.7;2;41;20.4;0
55.1;2;36;29.4;0
57.2;6;48;10.9;0
59.9;2;37;40.3;0
59.9;1;19;13.7;0
62.4;7;156;11.7;0
62.5;5;101;40.9;0
62.9;6;50;24.6;0
64.5;2;42;50.2;0
67.1;5;102;49.8;0
67.1;7;155;22.1;0
82.6;4;127;39.4;0
85.4;1;16;12.6;0
88.4;2;51;9.9;0
89.4;4;128;51.7;0
90.6;5;124;12.1;0
92.6;7;140;11.9;0
94.5;0;8;8.9;0
94.8;2;52;22.9;0
95.3;4;129;62.5;0
95.3;5;123;21.3;0
97.3;7;139;21.1;0
97.4;3;137;21.7;0
100.9;0;2;20.7;1
101.9;3;132;30.7;1
107.5;1;17;9.7;3
107.6;3;121;52.3;3
112.3;1;15;19.0;5
115.0;3;120;66.1;6
119.8;0;3;76.6;7
120.3;6;60;40.7;7
120.5;3;108;77.0;8
125.5;6;61;51.2;9
126.6;0;11;90.4;9
133.5;1;5;9.2;10
136.2;0;10;70.2;11
138.1;3;107;8.7;12
139.8;1;14;20.9;12
141.5;4;126;35.2;12
142.2;0;19;82.3;12
144.0;5;139;46.7;12
146.8;0;20;94.0;12
147.2;4;125;46.7;12
148.3;5;151;76.2;12
150.8;2;68;10.9;12
152.5;6;73;15.5;12
153.1;5;155;86.0;12
153.6;0;19;11.4;12
155.6;1;13;11.2;12
156.9;6;72;24.1;12
157.7;5;156;95.3;12
159.5;0;23;119.2;12
160.6;1;14;20.8;12
163.0;5;154;106.8;12
163.9;0;29;127.9;12
167.0;1;15;54.7;12
169.4;5;156;11.7;12
173.7;2;90;13.0;12
174.1;5;155;21.0;12
175.5;1;16;90.1;12
178.9;5;157;138.7;12
180.1;2;106;46.9;12
181.9;4;148;18.7;12
182.4;1;10;46.2;12
183.6;5;158;148.3;12
183.9;2;107;45.8;12
186.4;3;144;19.9;12
187.3;4;147;30.3;12
187.3;6;84;19.4;12
188.2;2;118;45.5;12
188.8;5;161;160.1;12
191.8;6;83;28.3;12
191.9;1;11;65.3;12
192.9;2;117;45.5;12
194.9;5;158;11.3;12
197.1;1;12;168.1;12
199.1;6;102;132.0;12
199.8;5;157;20.9;12
200.0;3;144;13.6;12
203.6;6;101;141.1;12
203.6;2;143;45.2;12
204.0;4;128;114.6;12
204.7;1;11;12.8;12
208.0;6;112;181.9;12
209.1;4;129;113.8;12
209.5;3;119;33.4;12
211.3;0;36;156.2;12
211.6;1;3;91.8;12
212.2;2;144;12.2;12
214.3;6;110;182.0;12
214.4;5;157;14.6;12
215.9;4;104;190.1;12
216.2;0;41;165.5;12
216.4;3;118;28.2;12
219.4;5;155;45.3;12
220.3;1;1;168.3;12
220.7;3;107;36.8;12
221.3;2;119;11.8;12
221.9;0;36;10.6;12
224.0;5;151;75.7;12
224.3;3;106;44.2;12
225.5;6;77;180.7;12
227.0;0;37;167.1;12
230.6;3;90;56.9;13
231.9;2;144;19.7;13
233.3;6;78;180.9;14
236.0;3;89;69.0;14
238.1;2;145;45.4;14
238.3;1;0;168.1;14
242.5;6;101;38.9;15
243.3;3;90;12.7;16
245.5;2;144;13.6;16
246.7;6;102;47.6;16
247.0;0;42;182.5;16
247.3;1;2;146.4;16
252.3;1;8;157.8;17
253.2;6;123;157.9;18
254.2;0;52;159.4;18
255.2;2;119;33.9;18
256.0;1;7;166.6;18
257.8;3;90;14.5;18
257.8;6;124;167.2;18
258.2;4;98;27.7;18
260.0;0;51;171.6;18
260.6;2;118;44.2;18
261.1;1;8;8.8;18
263.1;6;111;179.1;18
263.9;4;103;39.4;18
264.5;0;47;181.7;18
265.0;2;107;44.3;18
266.7;3;68;115.9;18
267.3;1;2;20.0;18
269.6;6;124;11.8;18
271.4;3;67;126.9;18
272.8;4;104;56.9;18
273.0;5;150;44.4;18
274.1;6;123;20.9;18
274.2;2;108;153.7;18
277.4;5;151;53.4;19
277.5;3;68;10.8;19
277.6;4;105;256.8;19
279.4;2;120;164.4;19
281.4;5;139;137.4;21
282.5;4;95;267.6;21
285.3;3;69;152.8;23
285.7;2;121;178.1;23
285.8;1;3;74.2;23
287.3;5;140;194.7;23
287.7;6;139;6.3;23
288.4;0;67;17.0;23
290.8;3;65;163.3;23
291.2;2;122;230.7;23
292.2;6;151;14.8;23
292.8;1;11;88.1;23
292.8;5;134;206.6;23
293.4;0;68;15.9;23
296.2;3;63;173.5;23
296.8;6;155;77.4;23
296.8;2;133;230.9;23
299.3;5;140;12.0;23
300.9;0;69;15.6;23
301.8;3;64;185.1;23
302.3;1;10;119.9;23
302.4;2;132;200.5;23
302.6;6;156;133.2;23
303.6;5;139;15.9;23
305.9;0;65;15.1;23
306.8;2;137;209.4;23
307.9;6;154;144.9;23
308.1;1;19;154.5;23
310.7;5;123;36.6;23
311.3;0;63;15.1;23
311.5;2;152;231.2;23
313.8;1;23;154.3;23
313.9;3;54;208.1;23
314.2;6;156;11.6;23
317.0;2;153;231.4;23
317.5;5;102;70.8;23
319.3;6;155;22.5;23
319.6;3;53;219.5;23
321.6;2;138;231.3;24
323.7;4;95;41.2;25
324.3;6;157;109.9;25
324.7;5;83;132.9;25
327.6;2;137;20.8;25
328.8;4;105;51.2;25
329.2;6;158;134.3;25
330.1;5;84;142.8;25
331.1;3;52;76.9;25
332.3;2;132;29.9;25
334.7;6;161;145.9;25
334.8;5;99;162.1;25
336.1;3;51;76.1;25
336.4;0;53;16.8;25
337.9;2;121;52.2;25
339.9;5;100;162.1;25
340.8;3;47;76.3;25
341.0;1;24;18.3;25
341.0;6;158;11.8;25
342.2;0;54;28.3;25
344.2;2;120;64.8;25
344.6;5;85;162.0;25
345.8;6;157;21.5;25
346.2;4;106;121.9;25
349.4;5;84;19.3;25
349.6;1;23;35.8;25
349.8;2;108;75.6;25
350.2;4;107;85.2;25
350.8;3;46;76.3;25
352.0;6;162;145.1;25
353.4;0;64;51.6;25
353.8;5;83;29.1;25
354.0;1;29;190.1;25
354.6;4;118;94.0;25
355.8;2;92;318.6;25
359.0;7;2;91.7;25
359.1;4;117;166.2;25
359.1;0;63;47.8;25
359.5;2;86;340.3;25
359.6;6;157;13.8;25
359.9;1;28;191.2;25
360.1;5;72;203.2;25
362.4;3;47;21.6;25
364.4;6;155;45.1;25
364.6;0;65;58.7;25
365.0;5;73;212.5;25
365.6;7;8;104.5;25
365.6;1;22;191.3;25
366.4;3;51;30.3;25
369.3;6;151;77.1;25
369.4;7;7;113.4;25
369.6;5;66;221.8;25
369.7;4;143;166.1;25
372.4;3;52;41.3;25
372.4;0;86;12.9;25
374.3;6;150;101.3;25
374.6;7;8;9.0;25
374.6;2;87;9.6;25
375.1;1;21;190.9;25
375.1;5;76;233.1;25
376.0;0;92;20.2;25
378.1;4;144;132.6;25
380.6;0;93;350.7;25
380.7;7;2;21.7;25
380.7;3;42;133.7;25
380.9;5;73;15.9;25
382.2;6;160;145.1;25
385.3;5;72;25.2;25
385.6;3;37;158.6;25
387.1;0;92;11.1;25
387.7;6;159;144.4;25
387.7;4;119;132.5;25
389.4;7;0;151.1;25
391.0;2;88;10.6;25
392.1;5;61;266.6;25
392.3;1;35;191.1;25
393.2;0;108;43.4;25
395.8;5;58;325.3;25
396.6;2;87;22.0;25
398.2;0;120;54.0;25
399.5;4;144;21.4;25
400.9;6;130;143.9;25
401.7;2;86;29.3;25
402.3;1;36;180.4;25
404.6;0;121;66.7;25
405.3;2;92;18.2;25
405.6;4;145;167.5;25
406.9;1;41;190.7;25
408.0;6;131;143.3;25
409.2;7;1;188.9;25
409.7;2;93;29.1;25
410.0;0;122;118.8;25
412.9;1;36;10.6;25
413.0;4;144;13.5;25
414.5;5;59;11.0;25
415.4;0;133;118.6;25
416.2;6;150;41.9;25
416.8;2;92;11.5;25
418.3;1;37;32.7;25
418.3;7;3;132.5;25
420.6;3;38;30.0;25
420.6;0;132;88.3;25
421.7;5;58;25.9;25
422.0;6;151;52.7;25
422.2;4;119;34.5;25
422.7;2;108;29.5;25
422.9;1;42;42.2;25
424.6;0;137;97.0;25
425.1;5;61;33.0;25
425.4;3;37;7.1;25
426.1;6;139;122.5;25
426.2;7;11;133.4;25
428.0;4;118;73.4;25
429.2;0;152;117.7;25
429.9;1;52;57.5;25
430.7;3;36;17.8;25
430.9;5;60;310.6;25
431.2;7;12;234.1;25
431.7;6;140;132.4;25
432.2;4;107;82.0;25
434.4;0;153;117.4;25
435.3;3;41;28.4;25
435.9;4;106;89.7;25
436.3;1;51;69.9;25
436.6;5;71;351.2;25
436.8;6;134;144.0;25
438.2;7;11;12.0;25
438.9;0;138;117.3;25
440.7;1;47;78.3;25
442.4;4;90;184.6;25
443.0;6;140;11.3;25
444.1;3;40;403.6;25
445.1;0;137;20.5;25
446.9;5;70;352.5;25
447.5;7;10;145.2;25
447.7;6;139;21.6;25
448.3;4;89;212.3;25
450.1;2;108;27.4;25
450.2;0;132;29.6;25
450.9;1;46;100.1;25
453.5;7;19;145.4;25
455.0;3;41;19.7;25
455.3;6;123;144.6;25
455.7;4;90;13.3;25
455.9;0;121;51.3;25
457.7;5;56;353.3;25
458.4;2;107;26.2;25
459.0;7;20;312.2;25
459.3;3;36;28.6;25
462.3;4;91;212.4;25
462.3;0;120;64.1;25
462.4;2;106;26.5;25
463.1;6;102;145.6;25
465.0;1;67;176.6;25
466.4;7;19;12.9;25
467.1;5;57;353.0;25
467.9;0;108;17.8;26
468.7;2;90;13.0;26
468.8;3;35;76.5;26
470.0;1;68;176.6;26
473.3;7;23;123.7;27
473.5;5;60;42.6;27
475.8;0;107;17.4;27
476.5;2;91;14.2;27
476.7;4;90;8.0;27
477.4;1;69;176.5;27
477.8;7;29;123.8;27
478.4;5;61;53.3;27
479.9;0;106;17.5;27
481.9;5;58;60.2;27
482.2;1;65;117.6;27
482.7;7;28;122.8;27
484.0;6;103;220.1;28
485.4;3;21;110.3;28
485.8;4;68;15.8;28
487.2;1;63;128.1;29
488.3;7;22;122.7;29
488.6;6;98;230.4;29
489.5;5;50;426.6;29
490.7;4;67;25.7;29
491.1;2;90;14.4;29
493.7;6;80;258.0;31
494.0;5;49;473.8;31
497.1;4;68;11.3;33
497.9;1;53;161.5;34
498.0;3;22;9.7;34
500.0;5;50;10.5;35
502.1;6;79;257.8;35
503.5;1;54;161.3;35
504.2;3;28;21.5;36
504.4;4;69;27.0;36
505.3;5;44;473.7;36
507.5;6;97;257.9;37
507.8;7;21;22.4;37
