
Complete Patrol Cycles:	1

Vertex	Avg Idl	StdDev Idl	#Visits
0	218.8	67.4	4
1	218.8	44.7	4
2	75.8	93.6	12
3	98.1	70.2	10
4	352.6	120.3	2
5	142.9	180.8	5
6	336.6	101.0	3
7	219.1	93.0	4
8	88.6	106.7	10
9	352.0	119.1	2
10	74.9	48.6	13
11	63.0	58.8	16
12	177.5	86.6	5
13	143.2	178.8	5
14	93.3	139.3	8
15	97.3	121.5	8
16	89.8	106.3	9
17	142.8	180.0	5
18	352.4	119.1	2
19	66.6	79.5	15
20	147.3	106.8	5
21	134.0	74.8	4
22	139.0	84.3	4
23	86.6	73.9	12
24	149.5	180.3	5
25	364.6	128.6	2
26	364.6	129.0	2
27	364.5	128.7	2
28	141.8	79.6	4
29	116.5	75.1	9
30	137.4	248.4	8
31	181.1	284.2	6
32	139.7	98.1	2
33	230.9	2.7	2
34	272.9	59.7	3
35	125.5	59.4	4
36	74.4	79.4	13
37	74.0	54.9	16
38	136.4	115.2	6
39	272.8	59.5	3
40	312.4	69.7	3
41	95.8	87.3	10
42	79.0	70.9	15
43	51.4	75.4	5
44	473.7	0.0	1
45	123.3	88.3	2
46	223.6	217.8	4
47	122.1	163.6	9
48	161.6	213.2	3
49	473.8	0.0	1
50	74.5	143.9	7
51	100.7	115.3	11
52	80.0	99.7	14
53	153.5	114.7	6
54	151.5	117.5	6
55	474.4	0.0	1
56	353.3	0.0	1
57	353.0	0.0	1
58	228.8	245.6	5
59	409.2	398.2	2
60	131.3	126.8	3
61	189.4	225.9	6
62	818.0	0.0	1
63	97.3	109.4	9
64	147.9	125.3	6
65	96.1	108.8	11
66	520.1	298.3	2
67	138.3	155.7	6
68	76.5	128.9	11
69	142.7	143.8	6
70	352.5	0.0	1
71	351.2	0.0	1
72	178.6	211.8	6
73	212.3	304.8	5
74	265.6	98.3	3
75	265.6	97.9	3
76	525.7	292.6	2
77	277.1	71.4	4
78	277.2	71.5	4
79	211.4	42.5	4
80	211.4	42.5	4
81	128.4	90.9	4
82	128.1	91.4	4
83	168.0	196.6	6
84	199.8	303.3	5
85	489.8	327.8	2
86	107.4	110.8	11
87	75.4	109.7	11
88	115.4	137.0	7
89	156.2	123.1	6
90	48.3	85.2	20
91	173.7	135.3	5
92	84.9	110.6	14
93	298.5	249.2	4
94	128.4	90.8	4
95	82.1	84.7	10
96	128.2	91.3	4
97	211.5	42.5	4
98	97.1	82.3	9
99	490.2	328.1	2
100	490.1	328.0	2
101	127.6	109.3	9
102	96.5	72.3	12
103	98.4	72.5	9
104	94.3	82.4	11
105	74.6	78.3	11
106	72.4	51.5	15
107	57.2	35.3	19
108	80.0	74.8	14
109	309.8	0.0	1
110	277.4	70.9	4
111	369.0	224.5	3
112	277.4	71.0	4
113	205.0	214.4	4
114	205.2	214.5	4
115	208.9	223.8	4
116	208.9	223.8	4
117	166.3	83.7	6
118	82.2	52.1	13
119	79.3	74.6	13
120	140.0	156.2	8
121	130.1	155.9	9
122	280.0	193.5	4
123	112.8	136.4	10
124	159.9	225.3	7
125	79.2	138.4	12
126	96.7	161.1	9
127	95.5	155.3	9
128	87.0	109.1	10
129	113.7	115.4	9
130	409.5	265.6	2
131	409.4	266.1	2
132	127.7	169.1	9
133	280.0	193.4	4
134	341.6	236.6	3
135	208.8	223.9	4
136	209.0	223.8	4
137	126.7	175.1	9
138	280.0	193.1	4
139	103.0	139.8	11
140	148.1	220.9	7
141	205.0	214.4	4
142	204.9	214.3	4
143	166.1	83.7	6
144	51.5	69.7	20
145	166.2	84.1	6
146	180.3	172.9	4
147	68.0	122.3	13
148	96.9	173.0	9
149	213.5	224.8	4
150	172.6	231.4	5
151	114.2	146.7	10
152	280.2	193.3	4
153	280.1	193.2	4
154	309.2	259.8	3
155	106.7	165.2	11
156	146.7	209.6	8
157	101.9	184.4	10
158	141.8	220.4	7
159	409.6	265.2	2
160	409.9	264.8	2
161	327.0	246.2	3
162	410.0	264.9	2

Node idleness
   worst_avg_idleness (graph) = 818.0
   avg_idleness (graph) = 199.0
   median_idleness (graph) = 327.0
   stddev_idleness (graph) = 126.2

Global idleness
   min = 3.0
   avg = 137.8
   stddev = 165.4
   max = 818.4

Interferences	139
Interference rate	6.86
Visits	1040
Avg visits per node	6.4
Time Elapsed	1215.2
Real Time Elapsed	1215.0
Comm delay: 0.00
----------------------------------------------------------------------------------------------------------------------------------------------------------------



Complete Patrol Cycles:	2

Vertex	Avg Idl	StdDev Idl	#Visits
0	218.8	67.4	4
1	218.8	44.7	4
2	95.6	113.3	13
3	118.3	92.5	11
4	430.8	147.9	3
5	162.7	191.4	8
6	323.2	90.5	4
7	219.1	93.0	4
8	88.6	106.7	10
9	430.1	147.2	3
10	86.4	78.3	15
11	78.2	83.4	17
12	177.5	86.6	5
13	186.3	224.0	7
14	121.3	181.4	11
15	124.3	162.5	11
16	116.4	145.3	12
17	185.8	225.4	7
18	430.3	147.0	3
19	73.4	91.3	18
20	214.9	179.9	6
21	224.2	192.5	5
22	228.3	193.8	5
23	95.2	81.9	14
24	149.5	180.3	5
25	364.6	128.6	2
26	364.6	129.0	2
27	364.5	128.7	2
28	230.5	191.2	5
29	122.0	80.3	11
30	152.0	237.8	9
31	181.1	284.2	6
32	139.7	98.1	2
33	273.0	59.6	3
34	272.9	59.7	3
35	217.4	191.3	5
36	83.5	87.8	15
37	76.4	55.5	18
38	121.1	113.1	7
39	272.8	59.5	3
