Time;Robot;Node;Idleness;Interferences
16.9;5;11;0.8;0
34.1;6;11;17.2;2
42.1;1;10;17.3;2
42.3;5;14;10.0;2
43.4;7;1;18.9;2
44.5;3;6;28.3;2
51.8;7;0;35.7;2
52.4;5;16;35.8;2
57.0;3;5;25.0;2
61.1;7;1;17.7;2
69.7;7;4;36.5;2
74.6;1;9;19.0;2
75.6;4;8;50.6;2
79.3;7;1;18.2;2
80.0;3;5;23.0;2
82.2;5;20;45.1;2
83.4;4;11;49.3;2
88.0;1;10;45.9;2
88.7;7;0;36.9;3
91.1;6;27;75.2;3
92.2;3;11;8.8;4
97.0;1;14;54.7;5
97.6;7;1;18.3;5
99.7;4;10;11.7;6
100.5;3;8;24.9;6
106.0;7;4;36.3;6
106.2;5;27;15.1;6
107.1;1;16;54.7;7
112.9;3;12;52.2;8
113.5;4;9;38.9;8
115.5;7;1;17.9;8
116.7;1;15;53.7;9
121.3;3;13;68.9;10
122.4;4;7;58.4;10
124.3;7;0;35.6;10
